Windows Time Zone Name,Standard Time Zone Name,Abbreviation,Display Name,UTC Time
(UTC+09:30) Darwin,AUS Central Standard Time,ACST,ACST (AUS Central Standard Time) - Darwin,9:30
"(UTC+10:00) Canberra, Melbourne, Sydney",AUS Eastern Standard Time,AEST,"AEST (AUS Eastern Standard Time) - Canberra, Melbourne, Sydney",10:00
(UTC+04:30) Kabul,Afghanistan Standard Time,AST,AST (Afghanistan Standard Time) - Kabul,4:30
(UTC-09:00) Alaska,Alaskan Standard Time,AST,AST (Alaskan Standard Time) - Alaska,-9:00
"(UTC+03:00) Kuwait, Riyadh",Arab Standard Time,AST,"AST (Arab Standard Time) - Kuwait, Riyadh",3:00
"(UTC+04:00) Abu Dhabi, Muscat",Arabian Standard Time,AST,"AST (Arabian Standard Time) - Abu Dhabi, Muscat",4:00
(UTC+03:00) Baghdad,Arabic Standard Time,AST,AST (Arabic Standard Time) - Baghdad,3:00
(UTC-03:00) Buenos Aires,Argentina Standard Time,AST,AST (Argentina Standard Time) - Buenos Aires,-3:00
(UTC-04:00) Atlantic Time (Canada),Atlantic Standard Time,AST,AST (Atlantic Standard Time) - Atlantic Time (Canada),-4:00
(UTC+04:00) Baku,Azerbaijan Standard Time,AST,AST (Azerbaijan Standard Time) - Baku,4:00
(UTC-01:00) Azores,Azores Standard Time,AST,AST (Azores Standard Time) - Azores,-1:00
(UTC-03:00) Salvador,Bahia Standard Time,BST,BST (Bahia Standard Time) - Salvador,-3:00
(UTC+06:00) Dhaka,Bangladesh Standard Time,BST,BST (Bangladesh Standard Time) - Dhaka,6:00
(UTC+09:30) Adelaide,Cen. Australia Standard Time,CAST,CAST (Cen. Australia Standard Time) - Adelaide,9:30
(UTC-06:00) Central America,Central America Standard Time,CAST,CAST (Central America Standard Time) - Central America,-6:00
(UTC+06:00) Astana,Central Asia Standard Time,CAST,CAST (Central Asia Standard Time) - Astana,6:00
(UTC-04:00) Cuiaba,Central Brazilian Standard Time,CBST,CBST (Central Brazilian Standard Time) - Cuiaba,-4:00
(UTC-06:00) Saskatchewan,Canada Central Standard Time,CCST,CCST (Canada Central Standard Time) - Saskatchewan,-6:00
"(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time,CEST,"CEST (Central Europe Standard Time) - Belgrade, Bratislava, Budapest, Ljubljana, Prague",1:00
"(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time,CEST,"CEST (Central European Standard Time) - Sarajevo, Skopje, Warsaw, Zagreb",1:00
"(UTC+11:00) Solomon Is., New Caledonia",Central Pacific Standard Time,CPST,"CPST (Central Pacific Standard Time) - Solomon Is., New Caledonia",11:00
(UTC+04:00) Yerevan,Caucasus Standard Time,CST,CST (Caucasus Standard Time) - Yerevan,4:00
"(UTC-06:00) Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico),CST,"CST (Central Standard Time (Mexico)) - Guadalajara, Mexico City, Monterrey",-6:00
(UTC-06:00) Central Time (US & Canada),Central Standard Time,CST,CST (Central Standard Time) - Central Time (US & Canada),-6:00
"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China Standard Time,CST,"CST (China Standard Time) - Beijing, Chongqing, Hong Kong, Urumqi",8:00
(UTC) Coordinated Universal Time,Coordinated Universal Time,CUT,CUT (Coordinated Universal Time) - Coordinated Universal Time,0:00
(UTC-01:00) Cape Verde Is.,Cape Verde Standard Time,CVST,CVST (Cape Verde Standard Time) - Cape Verde Is.,-1:00
(UTC+03:00) Nairobi,E. Africa Standard Time,EAST,EAST (E. Africa Standard Time) - Nairobi,3:00
(UTC+10:00) Brisbane,E. Australia Standard Time,EAST,EAST (E. Australia Standard Time) - Brisbane,10:00
(UTC+02:00) Nicosia,E. Europe Standard Time,EEST,EEST (E. Europe Standard Time) - Nicosia,2:00
(UTC-03:00) Brasilia,E. South America Standard Time,ESAST,ESAST (E. South America Standard Time) - Brasilia,-3:00
(UTC-05:00) Eastern Time (US & Canada),Eastern Standard Time,EST,EST (Eastern Standard Time) - Eastern Time (US & Canada),-5:00
(UTC+02:00) Cairo,Egypt Standard Time,EST,EST (Egypt Standard Time) - Cairo,2:00
(UTC+06:00) Ekaterinburg,Ekaterinburg Standard Time,EST,EST (Ekaterinburg Standard Time) - Ekaterinburg,6:00
(UTC+12:00) Fiji,Fiji Standard Time,FST,FST (Fiji Standard Time) - Fiji,12:00
"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time,FST,"FST (FLE Standard Time) - Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",2:00
(UTC+04:00) Tbilisi,Georgian Standard Time,GST,GST (Georgian Standard Time) - Tbilisi,4:00
"(UTC) Dublin, Edinburgh, Lisbon, London",GMT Standard Time,GST,"GST (GMT Standard Time) - Dublin, Edinburgh, Lisbon, London",0:00
(UTC-03:00) Greenland,Greenland Standard Time,GST,GST (Greenland Standard Time) - Greenland,-3:00
"(UTC) Monrovia, Reykjavik",Greenwich Standard Time,GST,"GST (Greenwich Standard Time) - Monrovia, Reykjavik",0:00
"(UTC+02:00) Athens, Bucharest",GTB Standard Time,GST,"GST (GTB Standard Time) - Athens, Bucharest",2:00
(UTC-10:00) Hawaii,Hawaiian Standard Time,HST,HST (Hawaiian Standard Time) - Hawaii,-10:00
"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi",India Standard Time,IST,"IST (India Standard Time) - Chennai, Kolkata, Mumbai, New Delhi",5:30
(UTC+03:30) Tehran,Iran Standard Time,IST,IST (Iran Standard Time) - Tehran,3:30
(UTC+02:00) Jerusalem,Jerusalem Standard Time,JST,JST (Jerusalem Standard Time) - Jerusalem,2:00
(UTC+02:00) Amman,Jordan Standard Time,JST,JST (Jordan Standard Time) - Amman,2:00
"(UTC+03:00) Kaliningrad, Minsk",Kaliningrad Standard Time,KST,"KST (Kaliningrad Standard Time) - Kaliningrad, Minsk",3:00
(UTC+12:00) Petropavlovsk-Kamchatsky - Old,Kamchatka Standard Time,KST,KST (Kamchatka Standard Time) - Petropavlovsk-Kamchatsky - Old,12:00
(UTC+09:00) Seoul,Korea Standard Time,KST,KST (Korea Standard Time) - Seoul,9:00
(UTC+02:00) Beirut,Middle East Standard Time,MEST,MEST (Middle East Standard Time) - Beirut,2:00
"(UTC+08:00) Kuala Lumpur, Singapore",Malay Peninsula Standard Time,MPST,"MPST (Malay Peninsula Standard Time) - Kuala Lumpur, Singapore",8:00
(UTC+12:00) Magadan,Magadan Standard Time,MST,MST (Magadan Standard Time) - Magadan,12:00
(UTC+04:00) Port Louis,Mauritius Standard Time,MST,MST (Mauritius Standard Time) - Port Louis,4:00
(UTC-02:00) Mid-Atlantic,Mid-Atlantic Standard Time,MST,MST (Mid-Atlantic Standard Time) - Mid-Atlantic,-2:00
(UTC-03:00) Montevideo,Montevideo Standard Time,MST,MST (Montevideo Standard Time) - Montevideo,-3:00
(UTC) Casablanca,Morocco Standard Time,MST,MST (Morocco Standard Time) - Casablanca,0:00
"(UTC-07:00) Chihuahua, La Paz, Mazatlan",Mountain Standard Time (Mexico),MST,"MST (Mountain Standard Time (Mexico)) - Chihuahua, La Paz, Mazatlan",-7:00
(UTC-07:00) Mountain Time (US & Canada),Mountain Standard Time,MST,MST (Mountain Standard Time) - Mountain Time (US & Canada),-7:00
(UTC+06:30) Yangon (Rangoon),Myanmar Standard Time,MST,MST (Myanmar Standard Time) - Yangon (Rangoon),6:30
(UTC+09:00) Irkutsk,North Asia East Standard Time,NAEST,NAEST (North Asia East Standard Time) - Irkutsk,9:00
(UTC+08:00) Krasnoyarsk,North Asia Standard Time,NAST,NAST (North Asia Standard Time) - Krasnoyarsk,8:00
(UTC+07:00) Novosibirsk,N. Central Asia Standard Time,NCAST,NCAST (N. Central Asia Standard Time) - Novosibirsk,7:00
(UTC+01:00) Windhoek,Namibia Standard Time,NST,NST (Namibia Standard Time) - Windhoek,1:00
