Abbreviation,Time zone name,Location,Display Name,Offset,UTC Time,DST
A,Alfa Time Zone,Military,A (Alfa Time Zone) - Military,UTC +1,1:00,FALSE
ACDT,Australian Central Daylight Time,Australia,ACDT (Australian Central Daylight Time) - Australia,UTC +10:30,10:30,TRUE
ACST,Australian Central Standard Time,Australia,ACST (Australian Central Standard Time) - Australia,UTC +9:30,9:30,FALSE
ACT,Acre Time,South America,ACT (Acre Time) - South America,UTC -5,-5:00,FALSE
ACWST,Australian Central Western Standard Time,Australia,ACWST (Australian Central Western Standard Time) - Australia,UTC +8:45,8:45,FALSE
ADT,Arabia Daylight Time,Asia,ADT (Arabia Daylight Time) - Asia,UTC +4,4:00,TRUE
ADT,Atlantic Daylight Time,North America,ADT (Atlantic Daylight Time) - North America,UTC -3,-3:00,TRUE
AEDT,Australian Eastern Daylight Time,Australia,AEDT (Australian Eastern Daylight Time) - Australia,UTC +11,11:00,TRUE
AEST,Australian Eastern Standard Time,Australia,AEST (Australian Eastern Standard Time) - Australia,UTC +10,10:00,FALSE
AFT,Afghanistan Time,Asia,AFT (Afghanistan Time) - Asia,UTC +4:30,4:30,FALSE
AKDT,Alaska Daylight Time,North America,AKDT (Alaska Daylight Time) - North America,UTC -8,-8:00,TRUE
AKST,Alaska Standard Time,North America,AKST (Alaska Standard Time) - North America,UTC -9,-9:00,FALSE
ALMT,Alma-Ata Time,Asia,ALMT (Alma-Ata Time) - Asia,UTC +6,6:00,FALSE
AMST,Armenia Summer Time,Asia,AMST (Armenia Summer Time) - Asia,UTC +5,5:00,TRUE
AMST,Amazon Summer Time,South America,AMST (Amazon Summer Time) - South America,UTC -3,-3:00,TRUE
AMT,Armenia Time,Asia,AMT (Armenia Time) - Asia,UTC +4,4:00,FALSE
AMT,Amazon Time,South America,AMT (Amazon Time) - South America,UTC -4,-4:00,FALSE
ANAST,Anadyr Summer Time,Asia,ANAST (Anadyr Summer Time) - Asia,UTC +12,12:00,TRUE
ANAT,Anadyr Time,Asia,ANAT (Anadyr Time) - Asia,UTC +12,12:00,FALSE
AoE,Anywhere on Earth,Pacific,AoE (Anywhere on Earth) - Pacific,UTC -12,-12:00,FALSE
AQTT,Aqtobe Time,Asia,AQTT (Aqtobe Time) - Asia,UTC +5,5:00,FALSE
ART,Argentina Time,Antarctica,ART (Argentina Time) - Antarctica,UTC -3,-3:00,FALSE
AST,Arabia Standard Time,Asia,AST (Arabia Standard Time) - Asia,UTC +3,3:00,FALSE
AST,Atlantic Standard Time,North America,AST (Atlantic Standard Time) - North America,UTC -4,-4:00,FALSE
AWDT,Australian Western Daylight Time,Australia,AWDT (Australian Western Daylight Time) - Australia,UTC +9,9:00,TRUE
AWST,Australian Western Standard Time,Australia,AWST (Australian Western Standard Time) - Australia,UTC +8,8:00,FALSE
AZOST,Azores Summer Time,Atlantic,AZOST (Azores Summer Time) - Atlantic,UTC +0,0:00,TRUE
AZOT,Azores Time,Atlantic,AZOT (Azores Time) - Atlantic,UTC -1,-1:00,FALSE
AZST,Azerbaijan Summer Time,Asia,AZST (Azerbaijan Summer Time) - Asia,UTC +5,5:00,TRUE
AZT,Azerbaijan Time,Asia,AZT (Azerbaijan Time) - Asia,UTC +4,4:00,FALSE
B,Bravo Time Zone,Military,B (Bravo Time Zone) - Military,UTC +2,2:00,FALSE
BNT,Brunei Darussalam Time,Asia,BNT (Brunei Darussalam Time) - Asia,UTC +8,8:00,FALSE
BOT,Bolivia Time,South America,BOT (Bolivia Time) - South America,UTC -4,-4:00,FALSE
BRST,Brasilia Summer Time,South America,BRST (Brasilia Summer Time) - South America,UTC -2,-2:00,TRUE
BRT,Brasilia Time,South America,BRT (Brasilia Time) - South America,UTC -3,-3:00,FALSE
BST,British Summer Time,Europe,BST (British Summer Time) - Europe,UTC +1,1:00,TRUE
BST,Bougainville Standard Time,Pacific,BST (Bougainville Standard Time) - Pacific,UTC +11,11:00,FALSE
BST,Bangladesh Standard Time,Asia,BST (Bangladesh Standard Time) - Asia,UTC +6,6:00,FALSE
BTT,Bhutan Time,Asia,BTT (Bhutan Time) - Asia,UTC +6,6:00,FALSE
C,Charlie Time Zone,Military,C (Charlie Time Zone) - Military,UTC +3,3:00,FALSE
CAST,Casey Time,Antarctica,CAST (Casey Time) - Antarctica,UTC +8,8:00,FALSE
CAT,Central Africa Time,Africa,CAT (Central Africa Time) - Africa,UTC +2,2:00,FALSE
CCT,Cocos Islands Time,Indian Ocean,CCT (Cocos Islands Time) - Indian Ocean,UTC +6:30,6:30,FALSE
CDT,Cuba Daylight Time,Caribbean,CDT (Cuba Daylight Time) - Caribbean,UTC -4,-4:00,TRUE
CDT,Central Daylight Time,North America,CDT (Central Daylight Time) - North America,UTC -5,-5:00,TRUE
CEST,Central European Summer Time,Europe,CEST (Central European Summer Time) - Europe,UTC +2,2:00,TRUE
CET,Central European Time,Europe,CET (Central European Time) - Europe,UTC +1,1:00,FALSE
CHADT,Chatham Island Daylight Time,Pacific,CHADT (Chatham Island Daylight Time) - Pacific,UTC +13:45,13:45,TRUE
CHAST,Chatham Island Standard Time,Pacific,CHAST (Chatham Island Standard Time) - Pacific,UTC +12:45,12:45,FALSE
CHOST,Choibalsan Summer Time,Asia,CHOST (Choibalsan Summer Time) - Asia,UTC +9,9:00,TRUE
CHOT,Choibalsan Time,Asia,CHOT (Choibalsan Time) - Asia,UTC +8,8:00,FALSE
ChST,Chamorro Standard Time,Pacific,ChST (Chamorro Standard Time) - Pacific,UTC +10,10:00,FALSE
CHUT,Chuuk Time,Pacific,CHUT (Chuuk Time) - Pacific,UTC +10,10:00,FALSE
CIDST,Cayman Islands Daylight Saving Time,Caribbean,CIDST (Cayman Islands Daylight Saving Time) - Caribbean,UTC -4,-4:00,TRUE
CIST,Cayman Islands Standard Time,Caribbean,CIST (Cayman Islands Standard Time) - Caribbean,UTC -5,-5:00,FALSE
CKT,Cook Island Time,Pacific,CKT (Cook Island Time) - Pacific,UTC -10,-10:00,FALSE
CLST,Chile Summer Time,South America,CLST (Chile Summer Time) - South America,UTC -3,-3:00,TRUE
CLT,Chile Standard Time,South America,CLT (Chile Standard Time) - South America,UTC -4,-4:00,FALSE
COT,Colombia Time,South America,COT (Colombia Time) - South America,UTC -5,-5:00,FALSE
CST,China Standard Time,Asia,CST (China Standard Time) - Asia,UTC +8,8:00,FALSE
CST,Cuba Standard Time,Caribbean,CST (Cuba Standard Time) - Caribbean,UTC -5,-5:00,FALSE
CST,Central Standard Time,North America,CST (Central Standard Time) - North America,UTC -6,-6:00,FALSE
CVT,Cape Verde Time,Africa,CVT (Cape Verde Time) - Africa,UTC -1,-1:00,FALSE
CXT,Christmas Island Time,Australia,CXT (Christmas Island Time) - Australia,UTC +7,7:00,FALSE
D,Delta Time Zone,Military,D (Delta Time Zone) - Military,UTC +4,4:00,FALSE
DAVT,Davis Time,Antarctica,DAVT (Davis Time) - Antarctica,UTC +7,7:00,FALSE
DDUT,Dumont-d'Urville Time,Antarctica,DDUT (Dumont-d'Urville Time) - Antarctica,UTC +10,10:00,FALSE
E,Echo Time Zone,Military,E (Echo Time Zone) - Military,UTC +5,5:00,FALSE
EASST,Easter Island Summer Time,Pacific,EASST (Easter Island Summer Time) - Pacific,UTC -5,-5:00,TRUE
EAST,Easter Island Standard Time,Pacific,EAST (Easter Island Standard Time) - Pacific,UTC -6,-6:00,FALSE
EAT,Eastern Africa Time,Africa,EAT (Eastern Africa Time) - Africa,UTC +3,3:00,FALSE
ECT,Ecuador Time,South America,ECT (Ecuador Time) - South America,UTC -5,-5:00,FALSE
EDT,Eastern Daylight Time,North America,EDT (Eastern Daylight Time) - North America,UTC -4,-4:00,TRUE
EEST,Eastern European Summer Time,Europe,EEST (Eastern European Summer Time) - Europe,UTC +3,3:00,TRUE
EGST,Eastern Greenland Summer Time,North America,EGST (Eastern Greenland Summer Time) - North America,UTC +0,0:00,TRUE
EGT,East Greenland Time,North America,EGT (East Greenland Time) - North America,UTC -1,-1:00,FALSE
EST,Eastern Standard Time,North America,EST (Eastern Standard Time) - North America,UTC -5,-5:00,FALSE
F,Foxtrot Time Zone,Military,F (Foxtrot Time Zone) - Military,UTC +6,6:00,FALSE
FET,Further-Eastern European Time,Europe,FET (Further-Eastern European Time) - Europe,UTC +3,3:00,FALSE
